,RSI,ESTADO,TENDENCIA,PRECIO,RECOMENDACION,CortoE,LargoE
0,44,f1,Alcista,36442,ESPERANDO SEÑAL,1,2
1,47,f1,Alcista,36450,ESPERANDO SEÑAL,1,2
2,47,f1,Alcista,36450,ESPERANDO SEÑAL,1,2
3,47,f1,Alcista,36450,"COMPRADO / precio entrada, venta short",0,2
4,46,f1,Alcista,36446,ESPERANDO SEÑAL,0,2
5,47,f1,Alcista,36451,ESPERANDO SEÑAL,0,2
6,47,f1,Alcista,36451,ESPERANDO SEÑAL,0,2
7,50,f1,Alcista,36461,"COMPRADO / precio entrada, venta short",0,2
8,53,f1,Alcista,36467,ESPERANDO SEÑAL,0,2
9,53,f1,Alcista,36467,ESPERANDO SEÑAL,0,2
10,53,f1,Alcista,36467,ESPERANDO SEÑAL,0,2
11,49,f1,Alcista,36456,"COMPRADO / precio entrada, venta short",0,2
12,49,f1,Alcista,36456,ESPERANDO SEÑAL,0,2
13,51,f1,Alcista,36461,ESPERANDO SEÑAL,0,2
14,51,f1,Alcista,36462,ESPERANDO SEÑAL,0,2
15,52,f1,Alcista,36464,"COMPRADO / precio entrada, venta short",0,2
16,52,f1,Alcista,36464,ESPERANDO SEÑAL,0,2
17,52,f1,Alcista,36464,ESPERANDO SEÑAL,0,2
18,50,f1,Alcista,36460,ESPERANDO SEÑAL,0,2
19,47,f1,Alcista,36450,"COMPRADO / precio entrada, venta short",0,2
