,RSI,ESTADO,TENDENCIA,PRECIO,RECOMENDACION,CortoE,LargoE
0,47,f2,Alcista,31578,NoC/V comprar f1,0,0
1,47,f2,Alcista,31589,NoC/V comprar f1,0,0
2,45,f2,Bajando,31566,NoC/V comprarf1,0,0
3,46,f2,Bajando,31564,NoC/V comprarf1,0,0
4,49,f2,Alcista,31600,NoC/V comprar f1,0,0
5,45,f2,Bajando,31565,NoC/V comprarf1,0,0
6,45,f2,Bajando,31555,NoC/V comprarf1,0,0
7,48,f2,Alcista,31596,NoC/V comprar f1,0,0
8,47,f2,Alcista,31577,NoC/V comprar f1,0,0
9,48,f2,Alcista,31595,NoC/V comprar f1,0,0
10,50,f2,Alcista,31603,NoC/V comprar f1,0,0
11,50,f2,Alcista,31616,NoC/V comprar f1,0,0
12,54,f2,Alcista,31650,NoC/V comprar f1,0,0
13,59,f3,Alcista,31697,NoC/V comprarf1,0,0
14,56,f3,Alcista,31687,NoC/V comprarf1,0,0
15,54,f2,Alcista,31664,NoC/V comprar f1,0,0
16,62,f3,Alcista,31779,NoC/V comprarf1,0,0
17,62,f3,Alcista,31757,NoC/V comprarf1,0,0
18,60,f3,Alcista,31752,NoC/V comprarf1,0,0
19,57,f3,Alcista,31716,NoC/V comprarf1,0,0
